bookID,title,type,genre,authors,description
1,Майстер і Маргарита,Роман,Містика,Михайло Булгаков,Алегорична книга Михайла Булгакова що розповідає дві незвичайні історії. Перша історія розповідає про диявола Воланда який приходить у Москву та влаштовує апокаліптичні дійства виходячи на праведний шлях. Друга історія розповідає про Майстра і його кохану Маргариту яка продовжує життя після його загибелі.
2,Тигролови,Роман,Пригоди,Іван Багряний,Розповідає історію полювання на тигрів в індійському джунглі. Головний герой мисливець Гриць має здолати величезних тварин та пройти багато випробувань на шляху до перемоги.
3,Кайдашева сім'я,Роман,Соціальний,Іван Нечуй-Левицький,Роман що описує життя селянської родини на Закарпатті в XIX столітті. Книга розкриває соціальні проблеми звичаї та традиції українського села.
4,Хроніки Нарнії,Дитяча література,Фантастика,К.Льюїс,Чарівна серія книг про пригоди дітей у вигаданому світі Нарнії.
5,Чарлі і шоколадна фабрика,Дитяча література,Фантастика,Д.Роальд,Це чарівна історія про хлопчика на ім'я Чарлі який отримує запрошення від мільярдера Віллі Вонки відвідати його шоколадну фабрику.
6,1984,Роман,Наукова фантастика,Д.Орвелл,Антиутопія про життя у майбутньому тоталітарному суспільстві де контроль і маніпуляція владою є нормою.
7,Двір шипів та троянд,Роман,Фантастика,С. Маас,Пригодницький роман про молоду дівчину воїна яка потрапляє до загадкового світу де змушена зіткнутися зі злом та відстоювати свої ідеали.
8,Дюна,Наукова фантастика,Драма,Ф. Герберт,Епічна науково-фантастична сага про пустелю Дюна де відбуваються політичні і релігійні інтриги битви за владу та боротьба за виживання.
9,Королівство шахраїв,Підліткова література,Фантастика,П. Бардуго,Перша книга серії що розповідає про небезпечну магію шахраїв та інтриги в казковому світі.
10,Інститут,Роман,Трилер,С. Кінг,Напружений трилер про дітей які потрапляють у загадковий Інститут де з ними проводять жахливі експерименти.
11,Ніч лагідна,Роман,Трагедія,Ф. Фіцджеральд,Класичний роман що розповідає про покоління загубленої молоді у 1920-х роках у США.
12,Уявний друг,Роман,Трилер,Дж. Аустер,Загадковий роман про письменника який знаходиться у складних стосунках з таємничим дублером.
13,Кафка на пляжі,Роман,Магічний реалізм,Г. Муракамі,Філософський роман який поєднує реальність і фантазію розповідає про долю двох героїв які перетинаються на незвичайному пляжі.
14,Великий Гетсбі,Роман,Роман,Ф. Фіцджеральд,Культовий роман що відображає декадентський світ багатих і успішних у 1920-х роках у США.
15,Чотири вітри,Роман,Сучасна література,Н. Хорват,Сильна історія про дружбу кохання та втрату що розгортається у мальовничому італійському містечку.
16,Джордж і таємниці Всесвіту,Наукова література,Наука,Г. Хоукинг,Популярна наукова книга що розповідає про фізику і таємниці Всесвіту представлена у доступній формі для широкої аудиторії.
17,Фізика неможливого,Наукова література,Наука,М. Кайку,Дослідження можливостей які межують з неможливим у світі фізики та науково-фантастичних концепцій.
18,Біологія поведінки,Наукова література,Наука,Р. Сапольскі,Фундаментальна книга що розкриває принципи та механізми поведінки у тварин та людини з біологічної точки зору.
19,Хто ми такі? Походження людини крізь призму ДНК,Наукова література,Наука,Д.Райх,Дослідження про еволюційну історію людини зокрема походження та міграції що засноване на генетичних дослідженнях.
20,Тотем і табу,Наукова література,Психологія,З. Фрейд,Книга в якій Зигмунд Фрейд аналізує табу та тотемні системи досліджуючи історію та психологію.
21,Історія українського мистецтва,Мистецтво та культура,Історія,М. Бажан,Книга що охоплює історію розвитку українського мистецтва від найдавніших часів до сучасності.
22,1001 альбом який ви повинні почути перед смертю,Музична література,Музика,Р. Дімері,Книга що представляє вибір найвизначніших музичних альбомів різних жанрів і епох які варто почути.
23,Автобіографія,Мемуари,Біографія,Нельсон Мандела,Автобіографія видатного політика та борця за права людини Нельсона Мандели який розповідає про свою боротьбу та стрімкий шлях до перемоги.
24,Автобіографія,Мемуари,Біографія,Тарас Шевченко,Автобіографічний твір видатного українського поета Тараса Шевченка в якому він розповідає про своє дитинство життєвий шлях та боротьбу за визволення України.
25,П'ятьдесят відтінків сірого,Роман,Еротика,Е. Джеймс,Еротичний роман що розповідає про складні стосунки між молодою жінкою та успішним підприємцем.
26,Ігри розуму,Роман,Детектив,А. Крісті,Знаменитий детективний роман де знаменитий герой Еркюль Пуаро розгадує заплутаний злочин.
27,Шерлок Холмс,Збірка оповідань,Детектив,А. Конан Дойл,Класична збірка детективних оповідань про великого детектива Шерлока Холмса та його напарника доктора Ватсона.
28,Дівчина з тату дракона,Трилогія,Трилер,С. Ларссон,Напружений трилер що розповідає про журналістку та хакера які розкривають загадкові злочини та замішаність у політичних і корпоративних справах.
29,Код да Вінчі,Роман,Трилер,Д. Браун,Популярний роман що поєднує таємниці релігії символіку та історичні загадки у захоплюючій пригоді.
30,Мистецтво війни,Філософська література,Військова,Сунь Цзи,Класичний філософський трактат про стратегію та тактику війни який містить роздуми та поради щодо досягнення перемоги в різних сферах життя.
31,Я робот,Наукова фантастика,Фантастика,Айзек Азімов,Класична науково-фантастична книга що складається з дев'яти коротких розповідей про роботів та їх взаємодію з людьми.
